Centroid,Voltage Class (kV),Owner
"-98.627233, 28.891266","100-161","AEP TEXAS CENTRAL COMPANY"
"-95.372847, 29.860536","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-94.768782, 34.044531","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-93.919566, 32.573834","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-97.924815, 36.076739","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.398038, 35.182338","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-95.336819, 34.629774","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.462914, 35.434893","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.964356, 35.306093","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-98.465467, 35.066848","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-95.902722, 34.044710","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.750090, 34.079896","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.435694, 35.174630","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-95.875498, 34.283700","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-95.419576, 29.796818","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-95.157675, 29.721638","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-94.755954, 34.105291","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-99.225368, 36.434706","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-99.141102, 34.623911","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.375410, 35.163378","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.469708, 35.710544","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-98.475903, 28.704203","100-161","AEP TEXAS CENTRAL COMPANY"
"-97.658774, 34.444921","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-95.224328, 29.690634","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.332712, 34.870211","100-161","NOT AVAILABLE"
"-95.655435, 35.537829","100-161","SOUTHWESTERN POWER ADMINISTRATION"
"-100.989282, 37.144364","100-161","PIONEER ELECTRIC COOP, INC - (KS)"
"-98.615284, 29.609801","100-161","BANDERA ELECTRIC COOP, INC"
"-94.021646, 31.971227","100-161","NOT AVAILABLE"
"-97.487612, 35.531098","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.474669, 34.351685","100-161","SOUTHWESTERN POWER ADMINISTRATION"
"-106.247640, 35.835790","100-161","JEMEZ MOUNTAIN ELECTRIC COOPERATIVE"
"-97.685106, 35.509582","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.484514, 35.269843","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-95.224574, 29.747287","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-98.764893, 35.489645","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.456392, 34.615402","100-161","NOT AVAILABLE"
"-93.764218, 32.496799","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-103.310294, 32.719342","100-161","NOT AVAILABLE"
"-97.867696, 35.518490","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.926230, 35.495326","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.367450, 35.449535","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-101.332752, 35.851607","100-161","NORTH PLAINS ELECTRIC COOP INC"
"-98.986500, 34.591859","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.759693, 35.453464","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.790332, 36.437190","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.085366, 33.097135","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.357052, 35.312579","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.678374, 26.250318","100-161","AEP TEXAS"
"-105.461235, 36.384081","100-161","KIT CARSON ELECTRIC COOPERATIVE"
"-99.444147, 34.418723","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-94.155247, 32.773591","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-93.415469, 31.114805","100-161","NOT AVAILABLE"
"-94.106042, 33.505767","100-161","NOT AVAILABLE"
"-96.925174, 34.171953","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-94.146789, 33.573055","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-93.542663, 30.165513","100-161","ENTERGY LOUISIANA LLC"
"-97.722031, 30.384697","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.688408, 30.439840","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.314730, 33.605779","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.685111, 30.238496","100-161","ONCOR ELECTRIC DELIVERY CO."
"-105.674040, 31.756610","100-161","EL PASO ELECTRIC POWER COMPANY"
"-98.670298, 29.413608","100-161","BANDERA ELECTRIC COOP, INC"
"-93.651514, 30.732421","100-161","NOT AVAILABLE"
"-97.072876, 30.573170","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.587319, 35.419476","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.268427, 30.825961","100-161","NOT AVAILABLE"
"-94.043676, 33.488281","100-161","NOT AVAILABLE"
"-97.494851, 35.550999","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.096843, 34.203685","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.092662, 34.189615","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.067508, 34.302325","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.049289, 34.300828","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.490088, 33.882021","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.481043, 33.882190","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.484210, 35.277130","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.616794, 35.429526","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.731762, 36.436159","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.497237, 35.585857","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.075958, 34.246335","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.430011, 35.279909","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.110492, 29.320938","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-95.030105, 29.703299","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-94.225420, 32.743811","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-93.482826, 30.763732","100-161","NOT AVAILABLE"
"-94.199333, 32.333971","100-161","NOT AVAILABLE"
"-97.165263, 32.745343","100-161","ONCOR ELECTRIC DELIVERY CO."
"-99.646278, 28.502368","100-161","AEP TEXAS CENTRAL COMPANY"
"-96.771219, 32.779912","100-161","ONCOR ELECTRIC DELIVERY CO."
"-93.724426, 30.109467","100-161","ENTERGY LOUISIANA LLC"
"-94.120870, 32.560388","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-96.521744, 33.946096","100-161","SOUTHWESTERN POWER ADMINISTRATION"
"-93.979016, 33.442560","100-161","ENTERGY ARKANSAS INC"
"-95.196013, 34.018720","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-94.959798, 33.957446","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-95.453643, 34.009805","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.229048, 35.083146","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-101.841782, 33.603523","100-161","CITY OF LUBBOCK - (TX)"
"-93.960696, 32.705751","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-100.570792, 31.111007","100-161","COLEMAN COUNTY ELEC COOP, INC"
"-98.142977, 26.256736","100-161","AEP TEXAS CENTRAL COMPANY"
"-96.531552, 32.911610","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.316778, 29.566062","100-161","GUADALUPE VALLEY ELEC COOP INC"
"-96.016601, 30.701079","100-161","NOT AVAILABLE"
"-95.320384, 29.730271","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.578875, 33.792829","100-161","ONCOR ELECTRIC DELIVERY CO."
"-100.638091, 36.752898","100-161","TRI-COUNTY ELECTRIC COOP, INC"
"-101.551656, 36.647006","100-161","TRI-COUNTY ELECTRIC COOP, INC"
"-101.513611, 36.505998","100-161","TRI-COUNTY ELECTRIC COOP, INC"
"-101.500239, 36.566791","100-161","TRI-COUNTY ELECTRIC COOP, INC"
"-96.462641, 34.044159","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-101.486486, 36.511976","100-161","NOT AVAILABLE"
"-96.846359, 29.679130","100-161","BLUEBONNET ELECTRIC COOP, INC"
"-99.275213, 30.010611","100-161","PEDERNALES ELECTRIC COOP, INC"
"-101.130805, 36.633226","100-161","TRI-COUNTY ELECTRIC COOP, INC"
"-100.826086, 36.697494","100-161","TRI-COUNTY ELECTRIC COOP, INC"
"-100.869693, 36.565317","100-161","TRI-COUNTY ELECTRIC COOP, INC"
